flex1,flex2,flex3,flex4,flex5,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,label
0.0,0.0,43.0,2507.0,32.0,-748.0,-2136.0,16092.0,-897.0,-326.0,-39.0,.
0.0,0.0,32.0,2519.0,40.0,-788.0,-2636.0,16116.0,-472.0,-508.0,58.0,.
0.0,10.0,43.0,2508.0,47.0,-768.0,-1828.0,16224.0,-629.0,-428.0,2.0,.
0.0,6.0,32.0,2503.0,43.0,-648.0,-2364.0,15988.0,-529.0,-405.0,61.0,.
35.0,6.0,16.0,2490.0,27.0,-808.0,-2328.0,16492.0,-445.0,-473.0,109.0,.
46.0,0.0,33.0,2506.0,37.0,-680.0,-2428.0,16320.0,-998.0,-259.0,121.0,.
1.0,0.0,41.0,2512.0,34.0,-604.0,-2652.0,16168.0,-459.0,-498.0,56.0,.
0.0,0.0,13.0,2495.0,41.0,-756.0,-2408.0,16240.0,-1061.0,-310.0,-8.0,.
0.0,0.0,39.0,2512.0,25.0,-612.0,-1872.0,16208.0,-673.0,-502.0,26.0,.
0.0,2.0,42.0,2503.0,34.0,-560.0,-2152.0,16192.0,-827.0,-383.0,53.0,.
1.0,3.0,37.0,2507.0,51.0,-672.0,-2008.0,16120.0,-514.0,-509.0,180.0,.
49.0,0.0,10.0,2514.0,39.0,-400.0,-2168.0,16136.0,-539.0,-327.0,70.0,.
23.0,1.0,21.0,2496.0,35.0,-404.0,-1984.0,16200.0,-880.0,-384.0,95.0,.
0.0,5.0,33.0,2503.0,32.0,-312.0,-2028.0,16280.0,-673.0,-397.0,-6.0,.
0.0,0.0,48.0,2513.0,50.0,-448.0,-2072.0,16096.0,-794.0,-446.0,76.0,.
0.0,9.0,13.0,2512.0,45.0,-420.0,-2140.0,16172.0,-823.0,-448.0,126.0,.
0.0,16.0,17.0,2526.0,27.0,-288.0,-2072.0,16260.0,-718.0,-392.0,-46.0,.
29.0,0.0,22.0,2521.0,27.0,-372.0,-1920.0,16316.0,-928.0,-294.0,-81.0,.
